url,time,reactions,comments,impressions
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6839835570286444544/,2021-09-04 10:24:37,9,2,892
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6836372088207536129/,2021-08-25 21:01:59,19,3,1089
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6828358909502246912/,2021-08-03 18:20:28,6,1,525
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6825678340427444224/,2021-07-27 08:48:51,38,3,931
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6821055545005400064/,2021-07-14 14:39:31,8,1,716
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6816334346971095040/,2021-07-01 13:59:09,6,1,1496
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6815556760586256384/,2021-06-29 10:29:18,6,0,221
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6811187124583354370/,2021-06-17 09:05:56,10,2,1047
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6805071902848155648/,2021-05-31 12:06:13,8,1,975
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6802243446204641280/,2021-05-23 16:46:57,8,2,533
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6792712920439545856/,2021-04-27 09:36:02,8,3,1526
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6788433019981090816/,2021-04-15 14:09:14,2,1,421
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6785563227410481152/,2021-04-07 16:05:43,3,1,710
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6782288956198313984/,2021-03-29 15:14:55,10,3,1868
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6780093248925941760/,2021-03-23 12:49:58,6,2,642
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6779034099588902912/,2021-03-20 14:41:17,37,19,4816
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6778270882000375809/,2021-03-18 12:08:32,4,0,520
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6777325373488205826/,2021-03-15 21:31:25,5,0,858
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6776153687598411776/,2021-03-12 15:55:33,5,2,1007
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6774312098324393984/,2021-03-07 13:57:44,5,0,455
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6714147678499979264/,2020-09-22 14:25:49,183,62,17637
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6650746432275927041/,2020-03-31 15:31:54,2,0,284
